id,numero,tema,pregunta,A,B,C,respuesta,archivo,requiere_figura
PREG202411060530,5509,NAVEGACIÓN,5509.- (Refiérase a la Figura 17). ¿Qué ilustración indica que la aeronave debe virar 150° a la izquierda para interceptar el radial 360 en un ángulo de 60° hacia adentro?,1.,2.,3.,A,DownloadBalotario (3).pdf,True
PREG202411060531,5510,NAVEGACIÓN,"5510.- (Refiérase a la Figura 17). ¿Cuál afirmación es correcta con respecto a la ilustración 4, si se mantiene el rumbo actual? La aeronave:",cruza el radial 060 en un ángulo de 15°.,intercepta el radial 240 en un ángulo de 30°.,cruza el radial 180 en un ángulo de 75°.,C,DownloadBalotario (3).pdf,True
PREG202411060532,5532,NAVEGACIÓN,"5532.- Al comprobar la sensibilidad del curso de un receptor VOR, ¿Cuántos grados debe girar el OBS para mover el CDI desde el centro hasta el último punto de cada lado?",5° a 10°.,10° a 12°.,18° a 20°.,B,DownloadBalotario (3).pdf,False
PREG202411060533,5533,NAVEGACIÓN,"5533.- Una aeronave a 60 millas de una estación VOR tiene una indicación del CDI de un quinto de desviación, esto corresponde a una desviación de la línea central del curso de aproximadamente:",6 millas.,2 millas.,1 milla.,B,DownloadBalotario (3).pdf,False
PREG202411060534,5551,NAVEGACIÓN,"5551.- ¿Cómo debe hacer el piloto la comprobación del receptor VOR, cuando la aeronave se encuentra en el punto de comprobación designado en la superficie del aeropuerto?",Ajuste el OBS en 180° más o menos 4°; el CDI debe centrarse con una indicación FROM.,Coloque el OBS en el radial designado. El CDI debe centrarse dentro de más o menos 4° de ese radial con una indicación FROM.,"Con la aeronave dirigida directamente hacia el VOR y el OBS ajustado a 000°, el CDI debe centrarse dentro de más o menos 4° de ese radial con una indicación de TO.",B,DownloadBalotario (3).pdf,False
PREG202411060535,5552,NAVEGACIÓN,"5552.- Cuando se utiliza el VOT para hacer una comprobación del receptor VOR, el CDI debe estar centrado y el OBS debe indicar que la aeronave está en el:",radial 090.,radial 180.,radial 360.,C,DownloadBalotario (3).pdf,False
PREG202411060536,5555,NAVEGACIÓN,"5555.- Para las operaciones IFR fuera de las aerovías establecidas, la parte de la ruta de vuelo de un plan de vuelo IFR debe enumerar las ayudas a la navegación VOR que no estén a más de:",a 40 millas de distancia.,a 70 millas de distancia.,a 80 millas de distancia.,C,DownloadBalotario (3).pdf,False
PREG202411060537,5990,NAVEGACIÓN,"5990.- A medida que la temperatura del aire aumenta, la altitud por densidad:",disminuye.,incrementa.,permanece igual.,B,DownloadBalotario (3).pdf,False
PREG202411060538,5999.1,NAVEGACIÓN,5999.1- ¿Qué procedimiento podría utilizar un piloto para navegar bajo VFR de un punto a otro cuando las referencias terrestres no son visibles?,Navegación a estima.,Navegación aérea observada.,La VFR no está permitida en estas circunstancias.,A,DownloadBalotario (3).pdf,False
PREG202411060433,5164,PERFORMANCE DE LA AERONAVE,"5164.- Un equipaje que pesa 90 libras se coloca en el compartimiento de equipaje de un avión de categoría normal que tiene un letrero que indica 100 libras de capacidad. Si este avión se somete a un factor de carga positivo de 3.5 Gs, la carga total del equipaje sería:",315 libras y excedería la limitante.,315 libras y no excedería la limitante.,350 libras y no excedería la limitante.,B,DownloadBalotario (4).pdf,False
PREG202411060434,5208,PERFORMANCE DE LA AERONAVE,"5208.- En aeropuertos de mayor altitud, el piloto debe saber que la velocidad indicada:","no cambiará, pero la velocidad respecto a tierra será mayor.","será mayor, pero la velocidad respecto a tierra no cambiará.",deberá aumentarse para compensar el aire más fino.,A,DownloadBalotario (4).pdf,False
PREG202411060435,5234,PERFORMANCE DE LA AERONAVE,5234.- Las tablas de rendimiento de una aeronave para despegue y ascenso se basan en:,altitud de presión / densidad.,altitud de la cabina.,altitud verdadera.,A,DownloadBalotario (4).pdf,False
PREG202411060436,5300,PERFORMANCE DE LA AERONAVE,"5300.- ¿Qué efecto, si lo hubiera, tendría un cambio en la temperatura ambiente o la densidad del aire en el rendimiento de un motor a reacción?","A medida que disminuye la densidad del aire, aumenta el empuje.","A medida que aumenta la temperatura, aumenta el empuje.","A medida que aumenta la temperatura, el empuje disminuye.",C,DownloadBalotario (4).pdf,False
PREG202411060437,5302,PERFORMANCE DE LA AERONAVE,"5302.- ¿Cuál es la temperatura estándar a 10,000 pies?",5° C.,15° C.,+5° C.,A,DownloadBalotario (4).pdf,False
PREG202411060438,5303,PERFORMANCE DE LA AERONAVE,5303.- ¿Cuál es la temperatura estándar a 20.000 pies?,-15°C.,-20°C.,-25°C.,C,DownloadBalotario (4).pdf,False
PREG202411060439,5305,PERFORMANCE DE LA AERONAVE,5305.- ¿Cuáles son los valores estándar de temperatura y presión a nivel del mar?,"15°C y 29,92"" Hg.","59°F y 1013.2"" Hg.",15°C y 29.92 Mb.,A,DownloadBalotario (4).pdf,False
PREG202411060440,5451,PERFORMANCE DE LA AERONAVE,"5451 .- Refiérase a la Figura 8 . DADO: Cantidad de combustible 47 gal Potencia de crucero (pobre) 55 por ciento Aproximadamente, ¿cuánto tiempo de vuelo estaría disponible con una reserva de combustible remanente para vuelo VFR nocturno?",3 horas 8 minutos.,3 horas 22 minutos.,3 horas 43 minutos.,B,DownloadBalotario (4).pdf,True
PREG202411060441,5452,PERFORMANCE DE LA AERONAVE,"5452 .- (Refiérase a la Figura 8 ). DADO: Cantidad de combustible 65 gal Mejor potencia (vuelo nivelado) 55 por ciento Aproximadamente, ¿cuánto tiempo de vuelo estaría disponible con reserva de combustible para vuelo VFR diurno?",4 horas 17 minutos.,4 horas 30 minutos.,5 horas 4 minutos.,B,DownloadBalotario (4).pdf,True
PREG202411060442,5453,PERFORMANCE DE LA AERONAVE,5453.- (Refiérase a la Figura 8). ¿Aproximadamente cuánto combustible se consumiría al ascender al 75% de potencia durante 7 minutos?,1.82 galones.,1.97 galones.,2.15 galones.,C,DownloadBalotario (4).pdf,True
PREG202411060443,5454,PERFORMANCE DE LA AERONAVE,5454.- (Refiérase a la Figura 8). Determine la cantidad de combustible consumido durante el despegue y ascenso al 70 por ciento de potencia durante 10 minutos.,2.66 galones.,2.88 galones.,3.2 galones.,B,DownloadBalotario (4).pdf,True
PREG202411060444,5455,PERFORMANCE DE LA AERONAVE,"5455.- (Refiérase a la Figura 8). Con 38 galones de combustible a bordo y potencia de crucero (55 por ciento), ¿cuánto tiempo de vuelo estaría disponible con reserva remanente de combustible para vuelo VFR nocturno?",2 horas 34 minutos.,2 horas 49 minutos.,3 horas 18 minutos.,A,DownloadBalotario (4).pdf,True
PREG202411060445,5456,PERFORMANCE DE LA AERONAVE,"5456 .- (Refiérase a la Figura 9 ). Utilizando un ascenso normal, ¿cuánto combustible se usaría desde el encendido del motor hasta una altitud de presión de 12,000 pies? Peso de la aeronave 3800 lb Altitud de presión del aeropuerto 4000 pies Temperatura 26 ° C",46 libras.,51 libras.,58 libras.,C,DownloadBalotario (4).pdf,True
PREG202411060446,5457,PERFORMANCE DE LA AERONAVE,"5457 .- (Refiérase a la Figura 9 ). Usando un ascenso normal, ¿cuánto combustible se consumiría desde el encendido del motor hasta una altitud de presión de 10,000 pies? Peso de la aeronave 3500 lb Altitud de presión del aeropuerto 4000 pies Temperatura 21° C",23 libras.,31 libras.,35 libras.,C,DownloadBalotario (4).pdf,True
PREG202411060447,5458,PERFORMANCE DE LA AERONAVE,"5458 .- (Refiérase a la Figura 10 ). Usando una velocidad máxima de ascenso, ¿cuánto combustible se consumiría desde el encendido del motor hasta una altitud de presión de 6,000 pies? Peso de la aeronave 3200 lb Altitud de presión del aeropuerto 2000 pies Temperatura 27° C",10 libras.,14 libras.,24 libras.,C,DownloadBalotario (4).pdf,True
PREG202411060448,5459,PERFORMANCE DE LA AERONAVE,"5459 .- (Refiérase a la Figura 10 ). Usando una velocidad máxima de ascenso, ¿cuánto combustible se consumiría desde el encendido del motor hasta una altitud de presión de 10,000 pies? Peso de la aeronave 3800 lb Altitud de presión del aeropuerto 4000 pies Temperatura 30° C",28 libras.,35 libras.,40 libras.,C,DownloadBalotario (4).pdf,True
PREG202411060449,5460,PERFORMANCE DE LA AERONAVE,"5460.- (Refiérase a la Figura 11). Si la altitud de crucero es de 7500 pies, utilizando un 64 por ciento de potencia a 2500 RPM, ¿cuál sería el alcance con 48 galones de combustible utilizables?",635 millas.,645 millas.,810 millas.,C,DownloadBalotario (4).pdf,True
PREG202411060450,5461,PERFORMANCE DE LA AERONAVE,"5461.- (Refiérase a la Figura 11). ¿Cuál sería la autonomía a una altitud de 7500 pies, usando el 52 por ciento de potencia? NOTA: (Con 48 galones de combustible, sin reserva).",6.10 horas.,7.7 horas.,8.0 horas.,B,DownloadBalotario (4).pdf,True
PREG202411060451,5462,PERFORMANCE DE LA AERONAVE,"5462.- (Refiérase a la Figura 11). ¿Cuál sería la velocidad verdadera aproximada y el consumo de combustible por hora a una altitud de 7500 pies, usando el 52 por ciento de potencia?","103 MPH TAS, 6.3 GPH.","105 MPH TAS, 6.2 GPH.","105 MPH TAS, 6.6 GPH.",B,DownloadBalotario (4).pdf,True
PREG202411060452,5463,PERFORMANCE DE LA AERONAVE,"5463 .- (Refiérase a la Figura 12 ). DADO: Altitud de presión 18.000 pies Temperatura - 21 °C Potencia 2,400 RPM - 28 '' MP Combustible utilizable con ajuste recomendado de mezcla pobre - 425 lb ¿Cuál es el tiempo de vuelo aproximado disponible en las condiciones dadas? (Tenga en cuenta la reserva de combustible para vuelo VFR diurno).",3 horas 46 minutos.,4 horas 1 minutos.,4 horas 31 minutos.,B,DownloadBalotario (4).pdf,True
PREG202411060453,5464,PERFORMANCE DE LA AERONAVE,5464 .- (Refiérase a la Figura 12 .) DADO: Altitud de presión 18.000 pies Temperatura - 41° C Potencia 2500 RPM - 26 '' MP Combustible utilizable con ajuste recomendado de mezcla pobre - 318 lb ¿Cuál es el tiempo de vuelo aproximado disponible en las condiciones dadas? (Tenga en cuenta la reserva de combustible para vuelo VFR nocturno).,2 horas 27 minutos.,3 horas 12 minutos.,3 horas 42 minutos.,A,DownloadBalotario (4).pdf,True
PREG202411060454,5465,PERFORMANCE DE LA AERONAVE,"5465 .- (Refiérase a la Figura 12 .) DADO: Altitud de presión 18,000 pies Temperatura - 1° C Potencia 2,200 RPM - 20 '' MP Combustible utilizable con ajuste recomendado de mezcla pobre - 344 lb ¿Cuál es el tiempo de vuelo aproximado disponible en las condiciones dadas? (Tenga en cuenta la reserva de combustible para vuelo VFR diurno).",4 horas 50 minutos.,5 horas 20 minutos.,5 horas 59 minutos.,C,DownloadBalotario (4).pdf,True
PREG202411060455,5482,PERFORMANCE DE LA AERONAVE,"5482 .- (Refiérase a la Figura 13 ). DADO: Peso de la aeronave 3.400 lb Altitud de presión del aeropuerto 6000 pies Temperatura a 6.000 pies 10° C Usando una velocidad máxima de ascenso en las condiciones dadas, ¿cuánto combustible se consumiría desde el encendido del motor hasta una altitud de presión de 16,000 pies?",43 libras.,45 libras.,49 libras.,A,DownloadBalotario (4).pdf,True
PREG202411060456,5483,PERFORMANCE DE LA AERONAVE,"5483 .- (Refiérase a la Figura 13 ). DADO: Peso de la aeronave 4000 lb Altitud de presión del aeropuerto 2000 pies Temperatura a 2000 pies 32 ° C Utilizando una velocidad máxima de ascenso en las condiciones dadas, ¿cuánto tiempo se necesitaría para ascender a una altitud de presión de 8.000 pies?",7 minutos.,8.4 minutos.,11.2 minutos.,B,DownloadBalotario (4).pdf,True
PREG202411060457,5484,PERFORMANCE DE LA AERONAVE,"5484 .- (Refiérase a la Figura 14 ). DADO: Peso de la aeronave 3.700 lb Altitud de presión del aeropuerto 4000 pies Temperatura a 4000 pies 21° C Usando un ascenso normal en las condiciones dadas, ¿cuánto combustible se consumiría desde el encendido del motor hasta una altitud de presión de 12,000 pies?",30 libras.,37 libras.,46 libras.,C,DownloadBalotario (4).pdf,True
PREG202411060458,5485,PERFORMANCE DE LA AERONAVE,"5485 .- (Refiérase a la Figura 14 ). DADO: Peso de la aeronave 3.400 lb Altitud de presión del aeropuerto 4000 pies Temperatura a 4000 pies 14° C Usando un ascenso normal en las condiciones dadas, ¿cuánto tiempo se necesitaría para ascender a una altitud de presión de 8.000 pies?","4,8 minutos.",5 minutos.,5.5 minutos.,C,DownloadBalotario (4).pdf,True
PREG202411060459,5486,PERFORMANCE DE LA AERONAVE,5486 .- (Refiérase a la Figura 15 ). DADO: Altitud de presión del aeropuerto 4000 pies Temperatura del aeropuerto 12° C Altitud de presión de crucero 9.000 pies Temperatura de crucero - 4° C ¿Cuál será la distancia necesaria para ascender a la altitud de crucero en las condiciones dadas?,6 millas.,8.5 millas.,11 millas.,B,DownloadBalotario (4).pdf,True
PREG202411060460,5487,PERFORMANCE DE LA AERONAVE,"5487 .- (Refiérase a la Figura 15 ). DADO: Altitud de presión del aeropuerto 2000 pies Temperatura del aeropuerto 20° C Altitud de presión de crucero 10,000 pies Temperatura de crucero 0° C ¿Cuál será el combustible, el tiempo y la distancia necesarios para ascender a la altitud de crucero en las condiciones dadas?","5 galones, 9 minutos, 13 NM.","6 galones, 11 minutos, 16 NM.","7 galones, 12 minutos, 18 NM.",A,DownloadBalotario (4).pdf,True
PREG202411060461,5503,PERFORMANCE DE LA AERONAVE,"5503.- Cuando se desvía a un aeropuerto alterno debido a una emergencia, los pilotos deben:",depender de la radio como método principal de navegación.,ascender a una altitud mayor porque será más fácil identificar los puntos de la ruta.,"aplicar cálculos básicos, estimaciones y otros atajos apropiados para desviarse al nuevo curso lo antes posible.",C,DownloadBalotario (4).pdf,False
PREG202411060462,5537,PERFORMANCE DE LA AERONAVE,5537.- (Refiérase a la Figura 3A.) ¿Cuál es la distancia de planeo aproximada si está volando a 5.500 pies?,10NM.,8NM.,6NM.,B,DownloadBalotario (4).pdf,True
PREG202411060463,5538,PERFORMANCE DE LA AERONAVE,"5538.- (Refiérase a la Figura 3A). ¿Cuál es la distancia de planeo aproximada si está volando a 8,000 pies?",12 NM.,10 NM.,14 NM.,A,DownloadBalotario (4).pdf,True
PREG202411060464,5614,PERFORMANCE DE LA AERONAVE,5614.- ¿Qué efecto tiene una pendiente positiva de pista en el rendimiento del despegue?,Aumenta la velocidad de despegue.,Aumenta la distancia de despegue.,Disminuye la distancia de despegue.,B,DownloadBalotario (4).pdf,False
PREG202411060465,5614.1,PERFORMANCE DE LA AERONAVE,"5614.1.- Al iniciar un sobrepaso, el piloto debe tener en cuenta que:",las comunicaciones por radio son clave para alertar a otras aeronaves en el circuito de que se está realizando una maniobra de sobrepaso.,el avión está compensado para una condición potencia reducida y la aplicación de potencia de despegue hará que la nariz suba rápidamente.,los flaps deben elevarse lo más rápido posible para reducir la resistencia y aumentar la velocidad para efectuar el sobrepaso adecuadamente.,B,DownloadBalotario (4).pdf,False
PREG202411060466,5615,PERFORMANCE DE LA AERONAVE,"5615.- (Refiérase a la Figura 31). Se está utilizando la pista 30 para el aterrizaje. ¿Qué viento de superficie excedería la limitante de viento cruzado del avión de 0.2 VSO, si VSO es de 60 nudos?",260° a 20 nudos.,275° a 25 nudos.,315° a 35 nudos.,A,DownloadBalotario (4).pdf,True
PREG202411060467,5616,PERFORMANCE DE LA AERONAVE,"5616.- (Refiérase a la Figura 31). Si el viento en la superficie informado por la torre es de 010 ° a 18 nudos, ¿cuál es la componente de viento cruzado para un aterrizaje por la pista 08?",7 nudos.,15 nudos.,17 nudos.,C,DownloadBalotario (4).pdf,True
PREG202411060468,5617,PERFORMANCE DE LA AERONAVE,5617.- (Refiérase a la Figura 31). El viento en la superficie es de 180° a 25 nudos. ¿Cuál es la componente de viento cruzado para un aterrizaje por la pista 13?,19 nudos.,21 nudos.,23 nudos.,A,DownloadBalotario (4).pdf,True
PREG202411060469,5618,PERFORMANCE DE LA AERONAVE,5618.- (Refiérase a la Figura 31). ¿Cuál es el componente de viento de frente para un despegue por la pista 13 si el viento en la superficie es de 190° a 15 nudos?,7 nudos.,13 nudos.,15 nudos.,A,DownloadBalotario (4).pdf,True
PREG202411060470,5619,PERFORMANCE DE LA AERONAVE,"5619 .- (Refiérase a la Figura 32 ). DADO: Temperatura 75 ° F Altitud de presión 6000 pies Peso 2,900 lb Viento de frente 20 nudos Para despegar con seguridad sobre un obstáculo de 50 pies en 1,000 pies, ¿qué tanto peso tendría que reducirse?",50 libras.,100 libras.,300 libras.,C,DownloadBalotario (4).pdf,True
PREG202411060471,5620,PERFORMANCE DE LA AERONAVE,"5620 .- (Refiérase a la Figura 32 ). DADO: Temperatura 50 ° F Altitud de presión 2,000 pies Peso 2,700 lb Viento en calma ¿Cuál es la distancia total de despegue sobre un obstáculo de 50 pies?",800 pies.,650 pies.,1050 pies.,A,DownloadBalotario (4).pdf,True
PREG202411060472,5621,PERFORMANCE DE LA AERONAVE,"5621 .- (Refiérase a la Figura 32 ). DADO: Temperatura 100° F Altitud de presión 4000 pies Peso 3,200 lb Viento en calma ¿Qué distancia en tierra es requerida para despegar sobre un obstáculo de 50 pies?",1180 pies.,1350 pies.,1850 pies.,B,DownloadBalotario (4).pdf,True
PREG202411060473,5622,PERFORMANCE DE LA AERONAVE,"5622 .- (Refiérase a la Figura 32 ). DADO: Temperatura 30 ° F Altitud de presión 6000 pies Peso 3,300 lb Viento de frente de 20 nudos ¿Cuál es la distancia total de despegue sobre un obstáculo de 50 pies?",1100 pies.,1300 pies.,1500 pies.,C,DownloadBalotario (4).pdf,True
PREG202411060474,5623,PERFORMANCE DE LA AERONAVE,"5623 .- (Refiérase a la Figura 33 ). DADO: Peso 4.000 lb Altitud de presión 5,000 pies Temperatura 30° C ¿Cuál es el máximo régimen de ascenso para las condiciones dadas?",655 pies / min.,702 pies / min.,774 pies / min.,B,DownloadBalotario (4).pdf,True
PREG202411060475,5624,PERFORMANCE DE LA AERONAVE,5624 .- (Refiérase a la Figura 33 ). DADO: Peso 3.700 lb Altitud de presión 22.000 pies Temperatura - 10° C ¿Cuál es el máximo régimen de ascenso en las condiciones dadas?,305 pies / min.,320 pies / min.,384 pies / min.,C,DownloadBalotario (4).pdf,True
PREG202411060476,5625,PERFORMANCE DE LA AERONAVE,"5625 .- (Refiérase a la Figura 34 ). DADO: Altitud de presión 6000 pies Temperatura + 3° C Potencia 2,200 RPM - 22 "" MP Combustible utilizable disponible 465 lb ¿Cuál es el tiempo máximo de vuelo disponible para las condiciones indicadas?",6 horas 27 minutos.,6 horas 39 minutos.,6 horas 56 minutos.,B,DownloadBalotario (4).pdf,True
PREG202411060477,5626,PERFORMANCE DE LA AERONAVE,"5626 .- (Refiérase a la Figura 34 ). DADO: Altitud de presión 6000 pies Temperatura - 17° C Potencia 2,300 RPM - 23 '' MP Combustible utilizable disponible 370 lb ¿Cuál es el tiempo máximo de vuelo disponible para las condiciones indicadas?",4 horas 20 minutos.,4 horas 30 minutos.,4 horas 50 minutos.,B,DownloadBalotario (4).pdf,True
PREG202411060478,5627,PERFORMANCE DE LA AERONAVE,"5627 .- (Refiérase a la Figura 34 ). DADO: Altitud de presión 6000 pies Temperatura + 13° C Potencia 2,500 RPM - 23 '' MP Combustible utilizable disponible 460 lb ¿Cuál es el tiempo máximo de vuelo disponible en las condiciones indicadas?",4 horas 58 minutos.,5 horas 7 minutos.,5 horas 12 minutos.,C,DownloadBalotario (4).pdf,True
PREG202411060479,5628,PERFORMANCE DE LA AERONAVE,"5628 .- (Refiérase a la Figura 35 ). DADO: Temperatura 70° F Altitud de presión nivel del mar Peso 3,400 lb Viento de frente 16 nudos Determine la distancia requerida para el recorrido en tierra.",689 pies.,716 pies.,"1,275 pies.",A,DownloadBalotario (4).pdf,True
PREG202411060480,5629,PERFORMANCE DE LA AERONAVE,"5629 .- (Refiérase a la Figura 35 ). DADO: Temperatura 85° F Altitud de presión 6,000 pies Peso 2,800 lb Viento de frente 14 nudos Determine la distancia requerida para el recorrido en tierra.",742 pies.,"1,280 pies.","1,480 pies.",A,DownloadBalotario (4).pdf,True
PREG202411060481,5630,PERFORMANCE DE LA AERONAVE,"5630 .- (Refiérase a la Figura 35 ). DADO: Temperatura 50° F Altitud de presión nivel del mar Peso 3,000 lb Viento de frente 10 nudos Determine la distancia requerida para el recorrido en tierra.",425 pies.,636 pies.,836 pies.,B,DownloadBalotario (4).pdf,True
PREG202411060482,5631,PERFORMANCE DE LA AERONAVE,"5631 .- (Refiérase a la Figura 35 ). DADO: Temperatura 80° F Altitud de presión 4,000 pies Peso 2,800 lb Viento de frente 24 nudos ¿Cuál es la distancia total de aterrizaje sobre un obstáculo de 50 pies?","1,125 pies.","1,250 pies.","1,325 pies.",A,DownloadBalotario (4).pdf,True
PREG202411060483,5632,PERFORMANCE DE LA AERONAVE,"5632.- En los cálculos de peso y balance, el peso básico vacío incluye el peso de la estructura del avión, los motores y todo el equipo opcional instalado. El peso básico vacío también incluye:","el combustible no utilizable, los fluidos requeridos para el funcionamiento de la aeronave y todo el aceite.","todo el combustible utilizable, aceite, fluido hidráulico, pero no incluye el peso del piloto, los pasajeros ni el equipaje.","todo combustible y aceite utilizable, pero no incluye ningún equipo o instrumento de radio que haya sido instalado por alguien que no sea el fabricante.",A,DownloadBalotario (4).pdf,False
PREG202411060484,5633,PERFORMANCE DE LA AERONAVE,"5633.- Si todas las unidades de índice son positivas al realizar los cálculos de peso y balance, el datum estaría ubicado en:",la línea central de las ruedas principales.,la nariz o delante del avión.,"la línea central de la rueda de nariz o la rueda de cola, según el tipo de avión.",B,DownloadBalotario (4).pdf,False
PREG202411060485,5634,PERFORMANCE DE LA AERONAVE,5634.- ¿Con cuál de los siguientes métodos se puede determinar el CG de una aeronave?,Dividiendo los brazos totales por los momentos totales.,Multiplicar el total de brazos por el peso total.,División de momentos totales por peso total.,C,DownloadBalotario (4).pdf,False
PREG202411060486,5636,PERFORMANCE DE LA AERONAVE,"5636 .- DADO: Peso A: 155 libras a 45 pulgadas después del datum Peso B: 165 libras a 145 pulgadas después del datum Peso C: 95 libras a 185 pulgadas después del datum Con base en esta información, ¿dónde se ubicaría el CG con respecto al datum?",86.0 pulgadas.,116.8 pulgadas.,125.0 pulgadas.,B,DownloadBalotario (4).pdf,False
PREG202411060487,5637,PERFORMANCE DE LA AERONAVE,"5637 .- DADO: Peso A: 140 libras a 17 pulgadas después del datum Peso B: 120 libras a 110 pulgadas después del datum Peso C: 85 libras a 210 pulgadas después del datum Con base en esta información, el CG se ubicaría ¿a qué distancia del datum?",89.11 pulgadas.,96.89 pulgadas.,106.92 pulgadas.,B,DownloadBalotario (4).pdf,False
PREG202411060488,5638,PERFORMANCE DE LA AERONAVE,"5638 .- DADO: Peso A: 135 libras a 15 pulgadas después del datum Peso B: 205 libras a 117 pulgadas después del datum Peso C: 85 libras a 195 pulgadas después del datum Con base en esta información, el CG se ubicaría ¿a qué distancia del datum?",100.2 pulgadas.,109 pulgadas.,121.7 pulgadas.,A,DownloadBalotario (4).pdf,False
PREG202411060489,5639,PERFORMANCE DE LA AERONAVE,5639 .- DADO: Peso A: 175 libras a 135 pulgadas después del datum Peso B: 135 libras a 115 pulgadas después del datum Peso C: 75 libras a 85 pulgadas después del datum ¿A qué distancia del datum estaría el CG correspondiente a la sumatoria de estos pesos?,91.76 pulgadas.,111.67 pulgadas.,118.24 pulgadas.,C,DownloadBalotario (4).pdf,False
PREG202411060490,5646,PERFORMANCE DE LA AERONAVE,"5646 .- DADO: Peso total 4,137 lb Posición del CG 67.8 pulgadas Consumo de combustible 13.7 GPH Posición del CG del combustible 68.0 Después de 1 hora y 30 minutos de vuelo, el CG se ubicaría en la estación",67.79,68.79,70.78,A,DownloadBalotario (4).pdf,False
PREG202411060491,5647,PERFORMANCE DE LA AERONAVE,"5647.- Una aeronave se carga con un peso de rampa de 3,650 libras y tiene un CG de 94.0, aproximadamente cuánto equipaje tendría que moverse desde el área de equipaje trasera en la estación 180 al área de equipaje delantera en la estación 40 para mover el CG a 92.0?",52.14 libras.,62.24 libras.,78.14 libras.,A,DownloadBalotario (4).pdf,False
PREG202411060492,5648,PERFORMANCE DE LA AERONAVE,"5648.- Un avión se carga con un peso bruto de 4,800 libras, con tres piezas de equipaje en el compartimiento de equipaje trasero. El CG se encuentra a 98 pulgadas después del datum, lo que indica que está 1 pulgada por fuera del límite trasero. Si el equipaje que pesa 90 libras se mueve desde el compartimiento de equipaje trasero (145 pulgadas después del datum) al compartimiento delantero (45 pulgadas después del datum), ¿cuál es el nuevo CG?",96.13 pulgadas después del datum.,95.50 pulgadas después del datum.,99.87 pulgadas después del datum.,A,DownloadBalotario (4).pdf,False
PREG202411060493,5649,PERFORMANCE DE LA AERONAVE,"5649 .- DADO: Peso total 3,037 lb Posición del CG 68.8 Consumo de combustible 12.7 GPH Posición del CG del combustible 68.0 Después de 1 hora y 45 minutos de vuelo, ¿en qué estación estaría el CG?",68.77.,68.83.,69.77.,B,DownloadBalotario (4).pdf,False
PREG202411060494,5650,PERFORMANCE DE LA AERONAVE,"5650 .- (Refiérase a la Figura 38 ). DADO: Peso vacío (incluye aceite) 1,271 lb Momento de peso vacío (in-lb / 1,000 ) 102.04 Piloto y copiloto 400 lb Pasajero en el asiento trasero 140 lb Carga 100 lb Combustible 37 gal ¿Está el avión cargado dentro de los límites?","Sí, el peso y el CG están dentro de los límites.","No, el peso supera el máximo permitido.","No, el peso es aceptable, pero el CG está por fuera del límite trasero.",A,DownloadBalotario (4).pdf,True
PREG202411060495,5651,PERFORMANCE DE LA AERONAVE,"5651 .- (Refiérase a la Figura 38 ). DADO: Peso vacío (incluye aceite) 1,271 lb Momento de peso vacío (in-lb/ 1,000 ) 102.04 Piloto y copiloto 260 lb Pasajero en el asiento trasero 120 lb Carga 60 lb Combustible 37 gal En estas condiciones, se determina que el CG se encuentra:",dentro de la envolvente del CG.,en el límite delantero de la envolvente del CG.,dentro del área sombreada de la envolvente del CG.,A,DownloadBalotario (4).pdf,True
PREG202411060496,5652,PERFORMANCE DE LA AERONAVE,"5652 .- (Refiérase a la Figura 38 ). DADO: Peso vacío (incluye aceite) 1,271 lb Momento de peso vacío (in-lb / 1,000 ) 102.04 Piloto y copiloto 360 lb Carga 340 lb Combustible 37 gal ¿Se mantendrá el CG dentro de los límites después de que se hayan consumido 30 galones de combustible en vuelo?","Sí, el GC se mantendrá dentro de los límites.","No, el CG se ubicará detrás del límite trasero del CG.","Sí, pero el CG se ubicará en el área sombreada de la envolvente del CG.",A,DownloadBalotario (4).pdf,True
PREG202411060497,5661,PERFORMANCE DE LA AERONAVE,"5661.- Con respecto a la técnica requerida para una corrección de viento cruzado en el despegue, un piloto debe usar:",presión de los alerones de cara al viento e iniciar la rotación a una velocidad normal tanto aviones con patín de cola y los de tren triciclo.,"presión del timón de dirección a la derecha, presión de los alerones de cara al viento y una velocidad de rotación superior a la normal tanto en aviones con tren triciclo como en los de tren convencional.","timón de dirección según sea necesario para mantener el control direccional, presión de los alerones de cara al viento y una velocidad de despegue superior a la normal en los aviones de tren convencional y tren triciclo.",C,DownloadBalotario (4).pdf,False
PREG202411060498,5662,PERFORMANCE DE LA AERONAVE,"5662.- Cuando se encuentran turbulencias durante la aproximación para el aterrizaje, ¿qué acción se recomienda y por qué motivo principal?",Aumente la velocidad ligeramente por encima de la velocidad de aproximación normal para lograr un control más positivo.,Disminuya la velocidad ligeramente por debajo de la velocidad de aproximación normal para evitar sobrecargar el avión.,Aumente la velocidad ligeramente por encima de la velocidad de aproximación normal para penetrar la turbulencia lo más rápido posible.,A,DownloadBalotario (4).pdf,False
PREG202411060499,5663,PERFORMANCE DE LA AERONAVE,"5663.- Si experimenta una falla de motor en un avión monomotor después del despegue, debe:",establecer la actitud de planeo adecuada.,virar para enfrentar el viento,ajustar el cabeceo para mantener VY.,A,DownloadBalotario (4).pdf,False
